nb_achats_mois_cdiscount
Ne se prononce pas
Ne se prononce pas
1 à 2 fois par mois
<1 fois par mois
Ne se prononce pas
Ne se prononce pas
1 à 2 fois par mois
<1 fois par mois
<1 fois par mois
<1 fois par mois
Ne se prononce pas
Ne se prononce pas
<1 fois par mois
<1 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
Ne se prononce pas
1 à 2 fois par mois
<1 fois par mois
1 à 2 fois par mois
Ne se prononce pas
Ne se prononce pas
1 fois seulement
<1 fois par mois
<1 fois par mois
Ne se prononce pas
Ne se prononce pas
1 à 2 fois par mois
Ne se prononce pas
Ne se prononce pas
<1 fois par mois
<1 fois par mois
<1 fois par mois
Ne se prononce pas
1 à 2 fois par mois
1 à 2 fois par mois
<1 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
Ne se prononce pas
<1 fois par mois
<1 fois par mois
<1 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
Ne se prononce pas
<1 fois par mois
<1 fois par mois
<1 fois par mois
<1 fois par mois
<1 fois par mois
Ne se prononce pas
<1 fois par mois
Ne se prononce pas
<1 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
Ne se prononce pas
<1 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
<1 fois par mois
<1 fois par mois
<1 fois par mois
Ne se prononce pas
Ne se prononce pas
Ne se prononce pas
1 à 2 fois par mois
Ne se prononce pas
<1 fois par mois
<1 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
<1 fois par mois
<1 fois par mois
Ne se prononce pas
<1 fois par mois
1 à 2 fois par mois
Ne se prononce pas
<1 fois par mois
<1 fois par mois
Ne se prononce pas
<1 fois par mois
1 à 2 fois par mois
Ne se prononce pas
De temps en temps 
1 à 2 fois par mois
Ne se prononce pas
moins d'une fois par mois
Ne se prononce pas
Ne se prononce pas
1 à 2 fois par mois
<1 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
1 à 2 fois par mois
2 à 4 fois par mois
1 à 2 fois par mois
<1 fois par mois
Ne se prononce pas
Ne se prononce pas
<1 fois par mois
<1 fois par mois
Ne se prononce pas
